https://www.kitzkikz.com/flashcards/ user-friendly web tool for making flashcards from CSV files.

Basic set for making flashcards based on ISTQB CTFL 2018 v.3.1 Syllabys terms / by Glossary v. 4.2.1
- ISTQB CTFL 2018 v.3.1 Syllabys terms by latest available ISTQB Glossary (v. 4.2.1)
- Based on ISTQB Standard Glossary of Terms, Version 4.2.1, Jan 13, 2024
- delimiter - '|' ; Field Enclosure is not defined and can not providede for kitzkikz's flashcards maker 
*************************************************************************
coverage|1 Fundamentals of Testing */*/*The degree to which specified coverage items have been determined or have been exercised by a test suite expressed as a percentage.*/*/*Synonyms: test coverage
debugging|1 Fundamentals of Testing */*/*The process of finding, analyzing and removing the causes of failures in a component or system.
defect|1 Fundamentals of Testing */*/*An imperfection or deficiency in a work product where it does not meet its requirements or specifications.*/*/*Reference: After ISO 24765*/*/*Synonyms: bug, fault
error|1 Fundamentals of Testing */*/*A human action that produces an incorrect result.*/*/*Reference: ISO 24765*/*/*Synonyms: mistake
failure|1 Fundamentals of Testing */*/*An event in which a component or system does not perform a required function within specified limits.*/*/*Reference: After ISO 24765
quality|1 Fundamentals of Testing */*/*The degree to which a component or system satisfies the stated and implied needs of its various stakeholders.*/*/*Reference: After ISO 25010
quality assurance|1 Fundamentals of Testing */*/*Activities focused on providing confidence that quality requirements will be fulfilled.Abbreviation: QA*/*/*Reference: After ISO 24765*/*/*See also: quality management
root cause|1 Fundamentals of Testing */*/*A source of a defect such that if it is removed, the occurrence of the defect type is decreased or removed.*/*/*Reference: CMMI
test analysis|1 Fundamentals of Testing */*/*The activity that identifies test conditions by analyzing the test basis.
test basis|1 Fundamentals of Testing */*/*The body of knowledge used as the basis for test analysis and design.*/*/*Reference: After TMap
test case|1 Fundamentals of Testing */*/*A set of preconditions, inputs, actions (where applicable), expected results and postconditions, developed based on test conditions.*/*/*See also: test step
test completion|1 Fundamentals of Testing */*/*The activity that makes testware available for later use, leaves test environments in a satisfactory condition and communicates the results of testing to relevant stakeholders.
test condition|1 Fundamentals of Testing */*/*A testable aspect of a component or system identified as a basis for testing.*/*/*Reference: After ISO 29119-1*/*/*Synonyms: test situation, test requirement
test control|1 Fundamentals of Testing */*/*The activity that develops and applies corrective actions to get a test project on track when it deviates from what was planned.*/*/*See also: test management
test data|1 Fundamentals of Testing */*/*Data needed for test execution.*/*/*Synonyms: test dataset
test design|1 Fundamentals of Testing */*/*The activity that derives and specifies test cases from test conditions.
test execution|1 Fundamentals of Testing */*/*The activity that runs a test on a component or system producing actual results.
test implementation|1 Fundamentals of Testing */*/*The activity that prepares the testware needed for test execution based on test analysis and design.
test monitoring|1 Fundamentals of Testing */*/*The activity that checks the status of testing activities, identifies any variances from planned or expected, and reports status to stakeholders.*/*/*See also: test management
test object|1 Fundamentals of Testing */*/*The work product to be tested.*/*/*See also: test item
test objective|1 Fundamentals of Testing */*/*The reason or purpose of testing.*/*/*Synonyms: test goal
test oracle|1 Fundamentals of Testing */*/*A source to determine an expected result to compare with the actual result of the system under test.*/*/*Reference: After Adrion*/*/*Synonyms: oracle
test planning|1 Fundamentals of Testing */*/*The activity of establishing or updating a test plan.
test procedure|1 Fundamentals of Testing */*/*A sequence of test cases in execution order, and any associated actions that may be required to set up the initial preconditions and any wrap up activities post execution.*/*/*Reference: ISO 29119-1
test process|1 Fundamentals of Testing */*/*The set of interrelated activities comprising of test planning, test monitoring and control, test analysis, test design, test implementation, test execution, and test completion.
test suite|1 Fundamentals of Testing */*/*A set of test scripts or test procedures to be executed in a specific test run.*/*/*Synonyms: test set, test case suite
testing|1 Fundamentals of Testing */*/*The process consisting of all lifecycle activities, both static and dynamic, concerned with planning, preparation and evaluation of a component or system and related work products to determine that they satisfy specified requirements, to demonstrate that they are fit for purpose and to detect defects.
testware|1 Fundamentals of Testing */*/*Work products produced during the test process for use in planning, designing, executing, evaluating and reporting on testing.*/*/*Reference: After ISO 29119-1
